R_mr,c_mr,theta0_mr,tw_mr,R_prop,c_prop,tw_prop,RPM_prop,span_wing,theta0_wing,AR_wing,l_rod,GW,Max_dBA
2.151,0.557,18.34942228,-13.19,4.013,0.412,-14.04,2400.997043,38.33720178,12.17188141,11.43746324,7.235384574,2296.251,81.055231
1.824,0.585,19.60818659,-12.7,3.553,0.39,-13.17,2507.739089,42.67610207,13.27693519,11.86702678,7.909681776,2620.625,81.428919
2.237,0.719,20.56929586,-13.43,3.502,0.377,-14.98,2173.068035,39.78809941,10.39512209,12.5492694,8.370054078,2988.31,78.986921
1.824,0.559,13.84197124,-1.98,4.103,0.422,-17.34,2125.649082,35.57902965,13.85653833,12.2244107,6.714046289,2761.844,86.892886
1.871,0.706,23.5478782,-14.21,3.484,0.375,-12.53,2450.254809,34.0624666,13.49042353,10.25067773,9.371231777,3507.075,92.484554
2.236,0.648,14.06788608,-4.56,3.805,0.402,-12.02,2309.729945,40.37160415,12.59765727,11.43202025,9.379411477,2664.918,79.432545
2.074,0.518,23.04783193,-8.04,4.102,0.305,-18,2137.876731,38.72894752,11.08604929,10.87694942,7.778463607,2926.73,68.292665
2.066,0.58,20.7044056,-6.36,3.943,0.408,-15.24,2110.979303,36.52055352,13.27146825,12.85142549,8.926640614,3397.519,76.331866
1.96,0.667,21.05953006,-0.47,3.841,0.36,-15.54,2320.88985,39.08714943,11.04790293,13.61726,7.268418645,2497.667,63.76779
2.148,0.693,14.83293923,-2.45,3.938,0.31,-15.84,2443.011579,35.05417299,11.21164194,11.75887039,6.40009098,2615.911,75.898351
2.164,0.659,23.62122043,-12.44,3.65,0.324,-12.78,2322.490533,41.57146156,10.14094621,10.37889204,8.36650949,3484.333,75.082208
2.1,0.674,16.59746919,-5.76,3.478,0.334,-16.91,2308.729164,41.22333539,10.42910951,13.74752368,8.925704659,3063.055,83.399617
1.932,0.586,22.30363278,-4.08,3.777,0.387,-13.32,2376.139549,38.66240648,9.955219609,11.35315568,7.679743531,3128.086,71.532557
2.161,0.669,16.87778087,-5.06,4.135,0.32,-16.93,2184.594788,41.34212215,11.42535291,12.30092209,9.181703994,2765.074,75.346726
2.092,0.662,22.45107086,-10.48,4.064,0.353,-16.32,2542.20235,35.60885334,14.40995833,13.62628116,9.356094849,3281.702,75.514621
1.978,0.529,20.71057917,-10.07,3.466,0.398,-17.63,2087.851645,36.51702632,10.60229463,11.78948245,8.826777069,2837.266,78.855591
2.152,0.604,19.67007469,-14.68,3.849,0.399,-15.26,2331.664186,41.97624042,13.57846566,12.35163951,7.587362463,2432.41,81.5786
1.965,0.617,21.79996351,-6.98,3.488,0.416,-15.64,2335.168637,37.96204667,14.0458437,10.39416471,7.173248695,3441.458,78.799751
1.895,0.58,15.16066443,-4.87,3.696,0.344,-17.33,2208.237403,35.58313748,11.81071822,10.78603115,6.583375694,2818.033,92.567704
2.135,0.637,20.12872412,-3.89,3.61,0.339,-13.21,2601.169702,37.69885221,10.77593582,14.06281088,6.891756236,2806.811,64.828015
1.995,0.75,17.41160101,-6.69,3.794,0.371,-13.56,2395.008786,34.81794935,13.64740854,12.77290947,7.313929015,2764.324,83.557254
2.157,0.705,18.11206464,-10.86,3.709,0.342,-13.48,2617.94357,38.29205245,11.52071411,12.52027405,6.758598566,2450.316,78.628575
2.031,0.633,21.93511397,-13.53,3.475,0.425,-17.27,2300.303725,36.70818771,10.30155545,10.85543921,8.856031963,2847.36,80.005303
2.076,0.55,16.35570652,-4.31,3.437,0.322,-17.95,2602.118535,42.44290873,11.51331043,14.08973365,8.413097192,2644.56,77.693658
1.854,0.597,19.86125706,-12.29,4.008,0.409,-17.41,2431.185679,37.68031297,14.4636937,10.22545942,7.034074044,2480.157,84.974189
1.995,0.673,17.91446439,-9.17,4.137,0.38,-16.11,2184.384318,36.49192269,14.69537112,13.62537739,9.563132612,2655.298,87.457177
2.139,0.537,15.55927469,-6.2,3.776,0.398,-15.32,1960.782609,36.7679427,11.69332217,12.94371656,7.949956919,2857.867,84.381088
2.038,0.747,18.06496671,-11.43,3.145,0.377,-13.54,2599.80802,33.85059084,13.83072249,10.20296033,7.899347592,2751.804,90.010129
2.036,0.577,20.14034873,-14.4,3.471,0.313,-16.65,2278.694163,37.79363629,13.39956623,11.08399875,8.209451377,2777.957,87.450076
1.834,0.717,19.88113658,-12.9,3.689,0.304,-13.24,2482.353479,33.36323235,13.51119528,14.05587104,6.822874738,2639.354,92.286812
1.925,0.547,17.02465425,-8.25,3.945,0.36,-16.54,2402.608658,42.4074739,11.93142514,10.87714982,7.190441548,2522.774,81.395409
1.95,0.613,23.27598697,-9.7,3.172,0.42,-13.58,2512.697492,41.63474439,12.72800878,13.61175219,8.346166327,3906.947,80.764114
2.138,0.655,13.55864328,-5.95,3.918,0.416,-12.79,2455.486264,38.61862088,13.04046348,10.73116405,9.450412683,2474.901,86.239695
2.108,0.753,21.44848996,-3.97,3.933,0.351,-16.3,2097.727472,40.44381639,14.50085485,13.16197854,9.506458251,3509.233,72.00943
1.94,0.751,16.00615865,-4.92,4.185,0.326,-16.73,2330.995662,35.79662309,12.54840918,13.21617413,8.106598771,2978.939,88.636552
2.069,0.552,16.83907399,-12.52,4.165,0.413,-14.34,2119.349639,39.86524677,11.70829045,14.45121261,9.539295831,2445.21,87.504776
1.902,0.631,22.16936189,-13.17,3.844,0.408,-15.48,2285.993423,37.54983981,11.96799575,10.52888253,8.561437316,2771.118,81.255618
2.235,0.713,20.04361572,-4.85,3.577,0.411,-15.86,2292.578107,41.79960827,13.31508129,12.78599175,7.74936289,3808.626,72.597421
2.348,0.515,23.77808105,-9.29,4.192,0.308,-12.3,2027.776908,36.24646377,11.71523019,11.22615928,7.913309251,3243.024,64.015885
1.876,0.679,18.0797855,-6.79,3.925,0.354,-16.55,2225.166231,41.23060174,10.40110049,14.42385034,9.580747907,3170.604,83.847947
1.846,0.689,20.23354746,-3.65,4.069,0.297,-17.98,2413.53319,42.97963282,14.18651545,13.30566918,9.212385891,3197.117,77.593908
2.067,0.572,15.17021873,-2.1,3.225,0.412,-16.26,2604.15115,42.10214404,10.2452467,11.89683702,8.737538077,3202.325,82.369472
2.027,0.577,18.71240243,-12.12,4.029,0.306,-12.91,2163.800931,43.14217868,10.40442518,12.34473128,8.314719048,2533.08,81.80408
2.046,0.629,23.55550155,-8.04,3.698,0.36,-13.73,2527.567111,37.49139364,13.31934186,10.44357423,9.204757967,3123.532,69.571008
2.166,0.605,14.42534488,-5.27,3.904,0.353,-12.18,1960.129619,36.35863541,10.2571258,12.67641392,8.722202506,2741.117,84.441317
2.301,0.573,18.95587259,-4.42,3.647,0.349,-14.24,2411.72913,42.21792781,12.21951574,10.09758261,6.540624465,3036.332,66.645863
2.365,0.621,14.94893689,-2.16,3.928,0.381,-16.58,2493.241455,43.17522554,14.21822799,13.87153836,8.286166205,2724.492,67.625894
2.012,0.55,15.1732535,-6.6,3.635,0.346,-16.9,2602.619955,37.02456043,11.65063819,13.40555489,6.70639191,2332.394,85.759877
2.232,0.58,23.65963685,-5.84,3.879,0.404,-12.37,2315.352162,35.74428876,13.03678958,10.8972799,6.547219373,3016.87,64.517894
2.25,0.566,19.80231842,-14.3,3.482,0.306,-17.91,2596.508869,39.66346808,13.64555169,12.2162126,7.528602218,2411.552,75.380855
2.19,0.739,14.47212361,-2.42,3.804,0.434,-17.63,2055.548034,33.3590971,11.76035186,11.2360326,8.868341566,3103.982,81.13004
1.988,0.558,20.20293591,-10.74,3.697,0.366,-13.51,2132.455723,40.96087575,11.68590791,12.03822027,6.748746996,2973.091,81.941398
1.88,0.643,18.31441607,-10.08,3.947,0.374,-14.81,2060.569081,38.40723506,12.14993089,13.70439471,6.498840439,3055.192,85.383491
1.998,0.541,21.53702732,-8,4.167,0.347,-14.48,2392.415861,41.82419921,11.36423555,13.61383628,8.455589135,2920.935,74.112249
2.281,0.516,14.17669117,-9.27,4.021,0.298,-17.36,2345.456355,41.01039429,12.33542403,14.61698936,8.814081541,2292.789,85.209268
1.885,0.704,19.12565783,-9.75,3.446,0.391,-15.15,2413.836024,41.63930565,10.142676,14.10237114,9.30987016,3059.272,84.876024
2.257,0.506,17.97245467,-1.69,3.688,0.342,-13.73,2089.956897,35.25145295,12.84554307,13.42378677,7.175863426,3119.178,67.929333
1.934,0.648,23.18805896,-14.45,3.56,0.408,-16.67,2138.981334,37.63358349,12.04656645,13.32537722,8.581039002,3182.543,83.348074
2.194,0.661,15.67725403,-4.19,3.975,0.349,-12.28,2533.759511,38.94888415,11.26293009,10.86399016,7.543007779,2736.499,75.987834
2.051,0.652,23.68481072,-7.59,4.055,0.395,-15.79,2463.189355,42.0486851,11.01263678,10.97081114,8.802019394,3280.79,70.056132
2.175,0.549,19.79864422,-14.1,3.611,0.34,-12.04,2540.875446,39.81797692,10.04393485,11.48810939,6.927485635,2310.351,76.643186
2.078,0.647,18.42464397,-5.69,3.477,0.312,-17.6,2314.969844,33.92045164,11.09365318,10.70711658,9.317294238,3075.826,78.236296
2.202,0.675,13.7619619,-5.65,4.065,0.392,-16.26,2293.511423,36.79340051,14.67465669,11.20431648,7.074992405,2433.226,82.376813
2.06,0.535,15.12724628,-10.14,3.609,0.407,-16.7,2369.126593,40.88865933,12.18387009,10.0723699,6.544660124,2448.18,86.631003
2.262,0.606,17.83802704,-5.01,3.853,0.362,-17.31,2630.99679,38.7257752,12.16747105,12.33245032,9.131060377,2880.733,69.542624
1.895,0.626,22.88440654,-12.77,3.949,0.332,-16.72,2135.400276,37.53330306,12.82239109,10.39287272,8.927737626,3518.374,85.644555
1.969,0.603,18.71928184,-9.39,3.875,0.335,-15.3,2216.809612,32.868368,11.51875128,14.14121875,6.620997197,2382.695,80.037255
2.078,0.561,20.68664587,-8.96,3.938,0.328,-13.68,2100.946231,35.57340536,10.710713,13.03933438,9.568088615,2892.57,73.730932
1.904,0.61,21.44529039,-8.93,3.407,0.325,-14.87,2536.991121,33.41563053,13.29051977,10.340383,7.285304373,3299.594,84.425721
2.111,0.688,19.54969613,-4.86,3.98,0.381,-12.1,2163.670239,42.04459968,10.27587967,10.99869431,8.828266437,3551.086,77.936968
1.891,0.603,17.52393181,-4.49,3.181,0.348,-16.17,2619.08346,39.51628995,10.04966197,12.4244486,9.282244834,3090.148,82.705397
2.382,0.681,16.93133656,-9.38,3.23,0.322,-16.79,2619.522984,36.89032968,13.16559714,12.70272341,7.377024407,2788.938,76.061174
2.137,0.629,23.3618786,-14.75,4.005,0.329,-12.52,2150.096442,33.91748217,11.3890915,13.98445116,7.442162574,2491.231,69.39331
2.162,0.689,22.07360768,-13.34,3.84,0.433,-15.29,2598.96505,43.06794715,14.11889237,10.69718526,9.461029594,2944,75.918255
1.931,0.561,19.93719478,-9.02,4.034,0.4,-12.3,2092.136169,40.50673287,10.86264333,12.9027129,6.8546987,2760.087,81.562659
2.07,0.654,18.23983975,-12.72,3.844,0.39,-12.26,2143.683165,39.22054863,12.06474281,10.49756076,8.274641479,2881.234,90.675484
2.086,0.632,20.3509916,-8.69,3.499,0.314,-13.48,2559.334079,41.44605088,11.09481215,13.92413316,7.164945376,2716.306,73.50491
2.198,0.538,14.85846157,-9.35,3.912,0.329,-16.75,2136.35839,41.84881502,12.14117045,14.44800044,6.997957738,2596.737,87.55295
1.901,0.568,18.67161683,-0.98,3.693,0.393,-14.58,2607.946785,34.45061798,12.72632397,11.31713184,6.738109634,3198.177,77.415693
1.983,0.509,22.41411208,-13.68,4.148,0.409,-17.53,2322.160868,34.26004742,11.81551591,11.71393425,6.581982433,2376.473,74.927357
2.323,0.673,13.67037801,-3.76,4.058,0.38,-13.77,2108.433079,40.42566812,13.63617395,14.8401638,8.558600678,2810.898,79.073467
1.884,0.755,23.36544691,-7.03,3.453,0.37,-17.54,2531.137198,39.84599945,11.72390158,13.96902111,8.205347438,2731.021,77.051363
2.145,0.687,18.32627374,-11.52,3.768,0.328,-13.48,2425.346151,39.67411907,13.31343523,13.81264183,7.231720502,2432.787,79.577376
2.035,0.739,22.44869993,-8.74,3.736,0.323,-17.04,2525.509683,42.63159578,13.36951,11.45142474,7.076278077,2885.863,72.170112
1.961,0.739,18.92776125,-0.21,3.459,0.399,-13.58,2476.707366,36.0274709,11.13524845,13.25221205,7.453583937,2558.95,68.741451
2.017,0.663,16.36935616,-11.7,4.063,0.431,-14.18,2222.59394,33.95741488,14.14833206,14.75109443,8.202876006,2366.896,90.483302
1.822,0.566,19.1356833,-7.08,3.201,0.418,-16.94,2624.977476,41.27704139,10.58995696,11.71716478,7.639485965,3446.394,81.048448
1.955,0.723,15.15458916,-6.25,3.774,0.376,-17.64,2042.82312,40.06581705,11.02491657,12.66747904,6.947664541,3206.518,89.445342
2.24,0.657,22.09618376,-0.28,4.072,0.331,-14.88,2378.872,38.54009481,10.97179566,13.25610997,7.839867662,3041.678,61.736171
2.312,0.559,17.84546936,-8.59,3.936,0.387,-17.5,2358.523726,36.2159393,13.74543258,11.18770298,7.465834544,2444.353,68.960442
2.035,0.545,19.30978654,-5.4,3.927,0.389,-16.49,2419.791473,32.8254308,10.57549024,10.13070956,6.507089772,2556.158,70.257129
2.057,0.547,15.2792994,-9.25,3.474,0.431,-14.21,2485.082311,40.207808,10.96640392,10.26618316,8.664392129,2708.12,88.184699
2.118,0.603,20.37655927,-11.35,3.905,0.307,-15.11,2232.606884,35.84580039,13.74323806,13.6580694,7.158481454,2562.025,75.052769
2.32,0.646,14.52129789,-11.37,3.504,0.359,-13.21,2615.001667,35.70228981,11.58148828,14.26179697,8.958761513,2402.027,91.095691
2.068,0.57,14.22075933,-1.58,3.961,0.362,-13.79,2484.126252,38.4651984,11.88600649,12.81746757,8.97999283,2671.031,78.775915
2.223,0.613,14.49830474,-2.51,4.106,0.38,-12.34,2357.303311,41.66949328,11.11874481,13.30271627,7.869667875,2699.927,74.753355
1.882,0.678,14.55146536,-8.43,3.672,0.412,-16.63,2427.711637,35.11998557,14.03580578,14.1374259,6.818351609,2437.717,95.423457
